one-digit ZIP,Year,HPI with 2000 base,HPI,Annual Change (%),Percent change since 2000,HPI year by year percent change since 2000,Percent change since 2010,zip
new england,2000,100.0,362.0116883116883,10.674545454545456,0.0,,-33.770619270513485,0
new england,2001,109.08116883116882,396.9254545454545,9.081168831168831,9.081168831168824,9.081168831168828,-27.75621739063122,0
new england,2002,119.48896103896104,436.928961038961,9.494415584415584,19.488961038961037,9.541328094770375,-20.863201063798687,0
new england,2003,128.51155844155844,465.64346153846157,7.4929870129870135,28.51155844155844,7.550988245395707,-14.887590678343695,0
new england,2004,145.0912987012987,524.4911538461538,12.85576923076923,45.09129870129871,12.901361138873767,-3.90693137776035,0
new england,2005,164.2938961038961,592.7642307692307,13.166794871794872,64.29389610389609,13.23483735722155,8.810829965956355,0
new england,2006,173.71467532467534,623.8305128205128,5.657179487179487,73.71467532467534,5.7341017799113825,15.050153703770599,0
new england,2007,173.79415584415585,619.9517948717948,0.04256410256410256,73.79415584415585,0.0457534858997688,15.10279315962312,0
new england,2008,167.74324675324675,595.2835897435898,-3.2094871794871795,67.74324675324675,-3.481652798690804,11.09531354020982,0
new england,2009,156.67233766233767,554.2491025641026,-6.464743589743589,56.67233766233767,-6.5999134422350725,3.7631190081763104,0
new england,2010,150.99038961038963,535.178717948718,-3.5414102564102565,50.99038961038963,-3.6266440756081986,0.0,0
new england,2011,146.26597402597403,517.7642307692307,-3.1166666666666667,46.26597402597403,-3.1289511846458007,-3.1289511846458,0
new england,2012,142.2812987012987,504.3225641025642,-2.7175641025641024,42.28129870129871,-2.7242667689531985,-5.767976976258923,0
new england,2013,142.58753246753247,506.8146153846154,0.14102564102564102,42.58753246753247,0.21523121382007737,-5.56516024929772,0
new england,2014,145.44506493506495,520.6692307692307,2.0475641025641025,45.44506493506495,2.0040549254775497,-3.6726341919069436,0
new england,2015,148.82155844155844,534.1517948717948,2.167179487179487,48.82155844155844,2.321490597154985,-1.4364034521849813,0
new england,2016,152.9018181818182,550.5138461538462,2.7443589743589745,52.901818181818186,2.7417128156617565,1.2659273059436051,0
new england,2017,158.5233766233766,571.8934615384616,3.5225641025641026,58.52337662337661,3.6765805066318658,4.98905064913392,0
new england,2018,165.88493506493506,598.6303846153846,4.614487179487179,65.88493506493506,4.643831464080028,9.864565217017326,0
new england,2019,172.5816883116883,622.585641025641,3.9824358974358973,72.58168831168831,4.036986989886593,14.299783421323783,0
new england,2020,179.71038961038963,646.5760256410257,4.063846153846154,79.71038961038963,4.130624383408876,19.021078145508525,0
northeast,2000,100.0,290.88309278350516,5.44340206185567,0.0,-44.354914472780884,-32.13298259281699,1
northeast,2001,106.41278350515465,311.1171134020619,6.412783505154639,6.41278350515465,6.41278350515464,-27.780817695088718,1
northeast,2002,112.47670103092783,331.37515463917526,5.627422680412371,12.476701030927828,5.6984859582020375,-23.665417732315014,1
northeast,2003,118.29886597938145,351.07639175257736,5.0095876288659795,18.298865979381446,5.1763297599319635,-19.71408803327309,1
northeast,2004,128.71711340206184,385.70463917525774,8.488041237113402,28.717113402061837,8.806717914351104,-12.643534241399191,1
northeast,2005,142.6998969072165,432.3761855670103,10.39979381443299,42.6998969072165,10.863189156113151,-3.1538361259471626,1
northeast,2006,153.5601030927835,464.5465979381443,7.30082474226804,53.56010309278349,7.610521395560865,4.216661896467556,1
northeast,2007,157.65938144329897,474.24422680412374,2.707422680412371,57.659381443298976,2.6694943985799746,6.998719848180778,1
northeast,2008,156.48659793814434,467.79092783505155,-0.41309278350515466,56.48659793814434,-0.7438716899802134,6.202786662588918,1
northeast,2009,151.53185567010308,449.1676288659794,-2.793298969072165,51.53185567010309,-3.166240645093299,2.8401508650563025,1
northeast,2010,147.34697916666667,440.3510416666666,-1.9260416666666667,47.34697916666667,-2.761714020415107,0.0,1
northeast,2011,146.14453608247422,430.39865979381443,-1.5447916666666668,46.14453608247422,-0.8160622572603637,-0.8160622572603603,1
northeast,2012,144.50752577319588,424.03474226804127,-1.1675257731958764,44.50752577319588,-1.120131038189831,-1.9270523288156705,1
northeast,2013,143.98510416666667,428.13781250000005,0.6022916666666667,43.98510416666667,-0.36151861554196696,-2.2816042914577324,1
northeast,2014,146.90062500000002,438.16302083333335,1.849375,46.90062500000002,2.024876705272627,-0.30292725998934306,1
northeast,2015,150.08614583333335,449.68104166666666,1.9852083333333332,50.08614583333335,2.1684869164670495,1.858990718478428,1
northeast,2016,154.50645833333334,464.1222916666666,2.74625,54.50645833333334,2.945183564716647,4.858924972305311,1
northeast,2017,159.68989583333334,482.2363541666667,3.1215625,59.68989583333334,3.35483549096518,8.37676940272076,1
northeast,2018,166.9984375,505.5101041666667,4.49625,66.9984375,4.576708894778481,13.336858647848643,1
northeast,2019,173.31416666666667,524.5477083333334,3.6898958333333334,73.31416666666667,3.7819091371239066,17.62315566078085,1
northeast,2020,179.56197916666667,543.0077083333333,3.6870833333333333,79.56197916666667,3.604905830933225,21.86335965772401,1
mid atlantic,2000,100.0,275.4767032967033,5.145604395604396,0.0,-44.308923044793616,-30.68282747031929,2
mid atlantic,2001,106.09131868131868,291.3208695652174,6.091318681318681,6.091318681318683,6.0913186813186915,-26.46049759065695,2
