one-digit ZIP,Year,HPI with 2000 base,Percent change since 2000,HPI year by year percent change since 2000,Percent change since 2010,employment_by_thosands,employment year by year percent change,employment percent change since 2000,employment percent change since 2010
new england,2000,100.0,0.0,0.0,-33.770619270513485,1576.701190476191,0.0,0.0,3.531678717998854
new england,2001,109.08116883116882,9.081168831168824,9.081168831168828,-27.75621739063122,1579.9476190476191,0.2059000520223897,0.2059000520223931,3.744850498338871
new england,2002,119.48896103896104,19.48896103896104,9.541328094770376,-20.863201063798687,1562.5773809523814,-1.099418606403446,-0.8957822578635782,2.6042603087746983
new england,2003,128.51155844155844,28.51155844155844,7.550988245395707,-14.887590678343695,1550.5916666666665,-0.7670477271602194,-1.655958907574552,1.817236662106685
new england,2004,145.0912987012987,45.09129870129871,12.901361138873767,-3.90693137776035,1557.47619047619,0.4439933450902211,-1.2193179098313829,2.269298417041208
new england,2005,164.2938961038961,64.29389610389609,13.23483735722155,8.810829965956355,1569.775,0.7896627633228404,-0.4392836460089985,3.076880984952106
new england,2006,173.71467532467534,73.71467532467534,5.734101779911383,15.0501537037706,1584.482142857143,0.9368949599237508,0.4934956875755227,4.042603087746723
new england,2007,173.79415584415585,73.79415584415585,0.0457534858997688,15.10279315962312,1593.7119047619046,0.5825096828241172,1.0788800305640758,4.648661324995101
new england,2008,167.74324675324675,67.74324675324675,-3.481652798690804,11.09531354020982,1590.1392857142855,-0.2241696907041013,0.8522918178323954,4.414070744576882
new england,2009,156.67233766233767,56.67233766233767,-6.5999134422350725,3.7631190081763104,1531.5202380952385,-3.68640962119966,-2.8655367709405386,0.5649403947625766
new england,2010,150.99038961038963,50.99038961038963,-3.626644075608199,0.0,1522.9166666666667,-0.5617667474817067,-3.4112058857062424,0.0
new england,2011,146.26597402597403,46.26597402597403,-3.1289511846458007,-3.1289511846458,1531.8190476190473,0.5845612663669897,-2.846585207663126,0.5845612663669857
new england,2012,142.2812987012987,42.28129870129871,-2.7242667689531985,-5.767976976258923,1549.894047619048,1.17996965947742,-1.7002043899673036,1.771428571428593
new england,2013,142.58753246753247,42.58753246753247,0.2152312138200773,-5.56516024929772,1568.5095238095237,1.2010805654149692,-0.5195446490525744,2.993785421145188
new england,2014,145.44506493506495,45.44506493506495,2.0040549254775497,-3.672634191906944,1587.159523809524,1.189026889342948,0.6633047147109994,4.218409224154785
new england,2015,148.82155844155844,48.82155844155844,2.321490597154985,-1.436403452184981,1608.6011904761906,1.3509459096589185,2.023211512281873,5.6263435606800885
new england,2016,152.9018181818182,52.901818181818186,2.7417128156617565,1.2659273059436051,1631.3964285714285,1.4170844974005004,3.468966626372536,7.123158100449471
new england,2017,158.5233766233766,58.52337662337661,3.6765805066318658,4.98905064913392,1649.3880952380953,1.1028384242830258,4.610062147536758,8.30455344928669
new england,2018,165.88493506493506,65.88493506493506,4.643831464080028,9.864565217017326,1662.9714285714288,0.8235377333296823,5.471565482181357,9.196482313855782
new england,2019,172.5816883116883,72.58168831168831,4.036986989886593,14.299783421323784,1677.9261904761904,0.8992795455065927,6.420049696888206,10.178463943717013
new england,2020,179.71038961038963,79.71038961038963,4.130624383408876,19.021078145508525,1545.3023809523809,-7.904031194969985,-1.991424228856395,1.4699237834668648
northeast,2000,100.0,0.0,-44.35491447278088,-32.13298259281699,4910.766666666667,0.0,0.0,1.0448126310302597
northeast,2001,106.41278350515464,6.41278350515465,6.41278350515464,-27.78081769508872,4893.455555555555,-0.3525134115741291,-0.3525134115741338,0.6886161148059236
northeast,2002,112.47670103092784,12.476701030927828,5.6984859582020375,-23.665417732315014,4835.683333333333,-1.1806017560869186,-1.5289533881335688,-0.500115455225094
northeast,2003,118.29886597938145,18.298865979381446,5.176329759931964,-19.71408803327309,4809.038888888889,-0.5509964695326275,-2.0715253784767773,-1.0483563062558403
northeast,2004,128.71711340206184,28.71711340206184,8.806717914351104,-12.643534241399191,4840.230555555557,0.6486049996130117,-1.4363563960368153,-0.4065509980589592
northeast,2005,142.6998969072165,42.6998969072165,10.863189156113153,-3.1538361259471626,4885.941666666667,0.9443994575556668,-0.5055218804938955,0.5340089940763422
northeast,2006,153.5601030927835,53.56010309278349,7.610521395560865,4.216661896467556,4933.105555555557,0.9652978301123882,0.4548961578753367,1.5044616014211492
northeast,2007,157.65938144329897,57.659381443298976,2.6694943985799746,6.998719848180778,4985.727777777778,1.0667159181898975,1.5264645257925258,2.587225850996462
northeast,2008,156.48659793814434,56.48659793814434,-0.7438716899802134,6.202786662588918,5005.097222222222,0.3884978343738687,1.9208926417915944,2.985775001771824
northeast,2009,151.53185567010308,51.53185567010309,-3.166240645093299,2.8401508650563025,4857.347222222223,-2.9519906095729964,-1.0878025381870726,-0.0543554054764592
northeast,2010,147.34697916666667,47.34697916666667,-2.761714020415107,0.0,4859.988888888889,0.0543849666456042,-1.034009172589038,0.0
northeast,2011,146.14453608247422,46.14453608247422,-0.8160622572603637,-0.8160622572603603,4931.336111111111,1.4680531962807386,0.4188642189836637,1.468053196280731
northeast,2012,144.50752577319588,44.50752577319588,-1.120131038189831,-1.9270523288156705,4988.508333333332,1.1593657567449789,1.5830861440507924,2.6444390590741844
northeast,2013,143.98510416666667,43.98510416666667,-0.3615186155419669,-2.2816042914577324,5042.230555555556,1.0769195645770502,2.677054273037241,3.749837105251729
northeast,2014,146.90062500000002,46.90062500000002,2.024876705272627,-0.302927259989343,5116.35,1.4699733308065177,4.186379587708633,5.274932041454146
northeast,2015,150.08614583333335,50.08614583333335,2.168486916467049,1.858990718478428,5190.76111111111,1.4543788269197666,5.70164423296653,6.806028363119232
northeast,2016,154.50645833333334,54.50645833333334,2.945183564716647,4.858924972305311,5256.525000000001,1.2669411572056255,7.040821867597045,8.1591978948283
northeast,2017,159.68989583333334,59.68989583333334,3.35483549096518,8.37676940272076,5320.13888888889,1.2101890296134732,8.336218151046793,9.468128642269424
northeast,2018,166.9984375,66.9984375,4.576708894778481,13.336858647848643,5385.958333333333,1.2371753034851718,9.676527086741356,10.822441295018956
northeast,2019,173.3141666666667,73.31416666666667,3.781909137123906,17.62315566078085,5440.691666666667,1.016222739685757,10.791084895094436,11.94864414413384
northeast,2020,179.56197916666667,79.56197916666667,3.604905830933225,21.86335965772401,4952.447222222222,-8.973940711173878,0.8487586233423445,1.9024391916762435
mid atlantic,2000,100.0,0.0,-44.308923044793616,-30.68282747031929,2182.15,0.0,0.0,-1.3336598875272023
mid atlantic,2001,106.09131868131868,6.091318681318683,6.091318681318692,-26.46049759065695,2175.204166666667,-0.3183022859717832,-0.3183022859717807,-1.6477171035898952
mid atlantic,2002,111.5721978021978,11.572197802197806,5.166190022901684,-22.66130715429392,2161.7583333333337,-0.6181412089669713,-0.9344759373400738,-2.255673094132378
mid atlantic,2003,116.24373626373628,16.243736263736267,4.187009446403889,-19.423128779118915,2155.3708333333334,-0.2954770614970181,-1.227191836797044,-2.544485159053876
mid atlantic,2004,127.12637362637362,27.126373626373624,9.361912918857485,-11.879592262680086,2189.6416666666664,1.590020278799642,0.3433158429377602,-0.994922710274229
mid atlantic,2005,144.52923076923076,44.529230769230765,13.689415222371103,0.1835762481280634,2231.597222222222,1.916092308355899,2.265986399753549,0.902105960556012
mid atlantic,2006,157.94,57.940000000000005,9.278932129779438,9.479542293377708,2278.7569444444443,2.1132721331881044,4.4271449920694845,3.0344420476203817
mid atlantic,2007,162.0223076923077,62.022307692307685,2.5847205852271182,12.30928255964706,2313.3583333333336,1.5184326249996438,6.012800830984739,4.598950630657791
mid atlantic,2008,158.26846153846154,58.26846153846154,-2.3168699466835085,9.707222544686736,2310.0791666666664,-0.1417491885894795,5.862528546005835,4.450682466865722
mid atlantic,2009,150.59131868131868,50.59131868131869,-4.850709220596805,4.385644185050965,2217.1833333333334,-4.021326830429683,1.6054502822140229,0.2503791482587398
mid atlantic,2010,144.2643956043956,44.26439560439559,-4.201386329787127,0.0,2211.645833333333,-0.249753816779541,1.351686792078152,0.0
mid atlantic,2011,140.05395604395605,40.05395604395605,-2.918557654367804,-2.9185576543678056,2239.204166666666,1.246055445134142,2.614585004086148,1.246055445134147
mid atlantic,2012,138.13615384615383,38.13615384615383,-1.369330972129279,-4.247923912596377,2270.6277777777777,1.4033383636423702,4.054614842140899,2.66688018287034
mid atlantic,2013,139.819010989011,39.81901098901099,1.2182597357759173,-3.0814149234540245,2298.365277777778,1.221578467041673,5.325723611015642,3.921036683967758
mid atlantic,2014,143.1376923076923,43.13769230769231,2.3735551376072417,-0.7809988680734151,2328.298611111112,1.302374936775741,6.697459437303195,5.274478219777275
mid atlantic,2015,146.4535164835165,46.453516483516495,2.3165276192216533,1.5174366966635018,2375.4416666666666,2.024785623741665,8.857854256887315,7.406060720240385
mid atlantic,2016,150.67604395604397,50.67604395604397,2.8831861288921123,4.444373349908537,2415.75,1.6968774227950512,10.705038608711586,9.228609915315698
mid atlantic,2017,155.44021978021976,55.44021978021977,3.161866809806635,7.74676532556981,2447.779166666667,1.325847735347918,12.17281885602122,10.676814966229916
mid atlantic,2018,161.31692307692308,61.31692307692308,3.780683857120448,11.820329888803078,2487.459722222222,1.621083964432568,13.991234434948185,12.470979065992184
mid atlantic,2019,167.2814285714286,67.28142857142859,3.697383622709794,15.954756452971752,2518.7055555555557,1.2561342422630073,15.42311736386386,13.88376554664856
mid atlantic,2020,173.11175824175825,73.11175824175825,3.485341869758196,19.99617612960333,2388.965277777778,-5.151069663208818,9.477592181003953,8.017533448255284
southeast,2000,100.0,0.0,-42.23384880630376,-21.887340715268948,3374.738333333333,0.0,0.0,1.4354860363853468
southeast,2001,105.87566666666666,5.87566666666666,5.875666666666657,-17.297701231229105,3372.95,-0.0529917628181664,-0.0529917628181701,1.3817335842114875
southeast,2002,110.32588888888888,10.325888888888883,4.203253081969316,-13.821514309371272,3348.611666666667,-0.7215740919175317,-0.7741834799043511,0.6501892607309666
southeast,2003,114.74966666666666,14.749666666666656,4.009736810036513,-10.365983846302074,3355.396666666667,0.2026212853386555,-0.5731308550835668,0.8541279679068395
southeast,2004,123.19633333333331,23.196333333333328,7.360950939581534,-3.7680678920517865,3431.6983333333337,2.273998404560218,1.6878345629760083,3.147549228830161
southeast,2005,138.83722222222224,38.83722222222224,12.695904549828786,8.449446354829364,3529.4300000000003,2.847909611324617,4.583812177042874,6.085098197163803
southeast,2006,153.346,53.346,10.450207477181506,19.78263850676368,3604.5016666666666,2.127019565954446,6.808330324869631,8.341548992379472
southeast,2007,155.70777777777778,55.70777777777778,1.540162624246988,21.627485935381728,3628.8583333333336,0.6757290998617105,7.530065293951196,9.073644366161911
southeast,2008,147.21266666666665,47.21266666666665,-5.455803963264527,14.991728737300164,3554.9833333333336,-2.035764232552484,5.341006685456611,6.853162127014095
southeast,2009,136.19022222222222,36.19022222222222,-7.487429372774379,6.3818042635625165,3351.1866666666665,-5.732703857027,-0.6978812678316314,0.7275867804034433
southeast,2010,128.02022222222223,28.02022222222223,-5.998962235826999,0.0,3326.98,-0.7223311941242594,-1.4151714478603985,0.0
southeast,2011,122.08822222222224,22.088222222222228,-4.633642948770245,-4.633642948770248,3360.7333333333336,1.0145337012345657,-0.4149951378946315,1.0145337012345597
southeast,2012,119.91866666666668,19.918666666666667,-1.7770391902394822,-6.328340487874318,3415.866666666667,1.6405149669714847,1.2187117717274936,2.671692245419773
southeast,2013,122.82811111111111,22.828111111111117,2.4261814489079603,-4.055696061906891,3483.271666666667,1.973291307232916,3.216051812412136,4.6977038234875765
southeast,2014,128.59755555555557,28.59755555555557,4.697169395713807,0.4509704196038545,3572.036666666667,2.5483226258072422,5.8463298142127655,7.36573909872217
southeast,2015,134.53633333333337,34.536333333333346,4.618110936962672,5.089907670836729,3674.408333333333,2.865918696243308,8.87979956964565,10.442753888912264
southeast,2016,141.48644444444446,41.48644444444446,5.165973338883267,10.518824282969188,3774.725,2.730144762535458,11.85237571505544,13.458000949810335
southeast,2017,149.15044444444445,49.150444444444446,5.416773338317449,16.505378490550964,3843.515,1.82238441210949,13.89075597466075,15.525641873410716
southeast,2018,157.89755555555556,57.89755555555556,5.864622893811911,23.33797959003004,3918.908333333333,1.961572501559972,16.124805725678474,17.7917610966502
southeast,2019,165.79266666666666,65.79266666666666,5.000147775139707,29.505060832403203,3990.953333333333,1.838394620951012,18.259637907729147,19.957238496574472
southeast,2020,173.06688888888888,73.06688888888888,4.387541601491551,35.18714925246184,3810.5316666666654,-4.520766132736886,12.91339624849926,14.53425228485492
midwest,2000,100.0,0.0,-42.21887234351266,-9.639344389720652,3781.5125,0.0,0.0,12.342800626105186
