one-digit ZIP,Year,Percent change since 2000,Percent change since 2010,employment percent change since 2000,employment percent change since 2010
0,2010,50.99038961038963,0.0,-3.4112058857062424,0.0
0,2020,79.71038961038963,19.021078145508525,-1.991424228856395,1.4699237834668648
1,2010,47.34697916666667,-2.413008174311151,-1.034009172589038,0.0
1,2020,79.56197916666667,18.92278682769293,0.8487586233423445,1.9024391916762435
2,2010,44.26439560439559,-4.454584178072234,1.351686792078152,0.0
2,2020,73.11175824175825,14.650845453442326,9.477592181003953,8.017533448255284
3,2010,28.02022222222223,-15.212999613709735,-1.4151714478603985,0.0
3,2020,73.06688888888888,14.621128758899616,12.91339624849926,14.53425228485492
4,2010,10.667634408602154,-26.705511063210658,-10.98673039777956,0.0
4,2020,41.56623655913978,-6.241558204841781,-6.564282589748598,4.968301723769784
5,2010,36.42488372093024,-9.64664435070584,-0.9416502371783338,0.0
5,2020,79.61941860465117,18.96082861176456,3.661882153992931,4.647293642780885
6,2010,24.23081395348838,-17.72270124340412,-4.538315091640587,0.0
6,2020,50.83941860465118,-0.0999871621816564,-2.1317984284157605,2.520924144105581
7,2010,37.52433333333335,-8.918485680978524,6.6939784516187775,0.0
7,2020,82.17655555555555,20.654404578753407,20.990119455433703,13.399201352583944
8,2010,38.59,-8.212701247004633,6.087988457697926,0.0
8,2020,101.93890410958906,33.74288564369243,25.26955861800883,18.080812389009964
9,2010,48.66965909090911,-1.5370054514521438,-0.7828481676274451,0.0
9,2020,136.30238636363637,56.50160713763497,11.98236475646267,12.865933649916652
